2025-04-27 23:05:21,536 | backend | INFO | Backend up
2025-04-27 23:05:21,537 | backend | WARNING | Slow response
2025-04-27 23:05:21,537 | backend | ERROR | Request failed
2025-04-27 23:05:21,537 | backend | CRITICAL | Backend down
2025-04-27 23:29:09,925 | backend | CRITICAL | Backend crash
2025-04-27 23:29:09,927 | backend | ERROR | Request failed
2025-04-27 23:29:09,928 | backend | WARNING | Slow response from backend
2025-04-27 23:29:09,930 | backend | INFO | Backend operational
2025-04-27 23:29:09,959 | backend | INFO | Backend API call successful
2025-04-27 23:29:09,959 | backend | INFO | Backend API call successful
2025-04-27 23:31:24,237 | backend | INFO | Backend up
2025-04-27 23:31:24,237 | backend | INFO | Backend up
2025-04-27 23:31:24,237 | backend | INFO | Backend up
2025-04-27 23:31:24,242 | backend | WARNING | Slow response
2025-04-27 23:31:24,242 | backend | WARNING | Slow response
2025-04-27 23:31:24,242 | backend | WARNING | Slow response
2025-04-27 23:31:24,245 | backend | ERROR | Request failed
2025-04-27 23:31:24,245 | backend | ERROR | Request failed
2025-04-27 23:31:24,245 | backend | ERROR | Request failed
2025-04-27 23:31:24,246 | backend | CRITICAL | Backend down
2025-04-27 23:31:24,246 | backend | CRITICAL | Backend down
2025-04-27 23:31:24,246 | backend | CRITICAL | Backend down
2025-04-27 23:35:31,936 | backend | INFO | Backend up
2025-04-27 23:35:31,936 | backend | WARNING | Slow response
2025-04-27 23:35:31,936 | backend | ERROR | Request failed
2025-04-27 23:35:31,936 | backend | CRITICAL | Backend down
2025-04-27 23:44:38,286 | backend | INFO | Backend up
2025-04-27 23:44:38,286 | backend | INFO | Backend up
2025-04-27 23:44:38,287 | backend | WARNING | Slow response
2025-04-27 23:44:38,287 | backend | WARNING | Slow response
2025-04-27 23:44:38,287 | backend | ERROR | Request failed
2025-04-27 23:44:38,287 | backend | ERROR | Request failed
2025-04-27 23:44:38,288 | backend | CRITICAL | Backend down
2025-04-27 23:44:38,288 | backend | CRITICAL | Backend down
2025-04-27 23:45:05,354 | backend | INFO | Backend up
2025-04-27 23:45:05,354 | backend | INFO | Backend up
2025-04-27 23:45:05,354 | backend | INFO | Backend up
2025-04-27 23:45:05,354 | backend | WARNING | Slow response
2025-04-27 23:45:05,354 | backend | WARNING | Slow response
2025-04-27 23:45:05,354 | backend | WARNING | Slow response
2025-04-27 23:45:05,354 | backend | ERROR | Request failed
2025-04-27 23:45:05,354 | backend | ERROR | Request failed
2025-04-27 23:45:05,354 | backend | ERROR | Request failed
2025-04-27 23:45:05,355 | backend | CRITICAL | Backend down
2025-04-27 23:45:05,355 | backend | CRITICAL | Backend down
2025-04-27 23:45:05,355 | backend | CRITICAL | Backend down
2025-04-27 23:50:25,373 | backend | INFO | Backend up
2025-04-27 23:50:25,373 | backend | INFO | Backend up
2025-04-27 23:50:25,373 | backend | INFO | Backend up
2025-04-27 23:50:25,373 | backend | INFO | Backend up
2025-04-27 23:50:25,373 | backend | WARNING | Slow response
2025-04-27 23:50:25,373 | backend | WARNING | Slow response
2025-04-27 23:50:25,373 | backend | WARNING | Slow response
2025-04-27 23:50:25,373 | backend | WARNING | Slow response
2025-04-27 23:50:25,373 | backend | ERROR | Request failed
2025-04-27 23:50:25,373 | backend | ERROR | Request failed
2025-04-27 23:50:25,373 | backend | ERROR | Request failed
2025-04-27 23:50:25,373 | backend | ERROR | Request failed
2025-04-27 23:50:25,373 | backend | CRITICAL | Backend down
2025-04-27 23:50:25,373 | backend | CRITICAL | Backend down
2025-04-27 23:50:25,373 | backend | CRITICAL | Backend down
2025-04-27 23:50:25,373 | backend | CRITICAL | Backend down
