2025-04-27 23:05:21,535 | frontend | INFO | Frontend up
2025-04-27 23:05:21,536 | frontend | WARNING | Input mismatch
2025-04-27 23:05:21,536 | frontend | ERROR | Frontend error
2025-04-27 23:05:21,536 | frontend | CRITICAL | Frontend down
2025-04-27 23:05:21,537 | frontend.flask | INFO | Flask running
2025-04-27 23:05:21,538 | frontend.flask | WARNING | Session timeout
2025-04-27 23:05:21,538 | frontend.flask | ERROR | Submission error
2025-04-27 23:05:21,538 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:29:09,911 | frontend | CRITICAL | Frontend down
2025-04-27 23:29:09,913 | frontend | ERROR | Frontend error
2025-04-27 23:29:09,914 | frontend | WARNING | Input mismatch detected
2025-04-27 23:29:09,916 | frontend | INFO | Frontend up
2025-04-27 23:29:09,932 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:29:09,933 | frontend.flask | ERROR | Submission error
2025-04-27 23:29:09,938 | frontend.flask | WARNING | Session timeout
2025-04-27 23:29:09,939 | frontend.flask | INFO | Flask server running
2025-04-27 23:29:09,957 | frontend | ERROR | Error rendering page
2025-04-27 23:29:09,957 | frontend | ERROR | Error rendering page
2025-04-27 23:29:09,963 | frontend.flask | WARNING | Flask session about to expire
2025-04-27 23:29:09,963 | frontend.flask | WARNING | Flask session about to expire
2025-04-27 23:31:24,229 | frontend | INFO | Frontend up
2025-04-27 23:31:24,229 | frontend | INFO | Frontend up
2025-04-27 23:31:24,229 | frontend | INFO | Frontend up
2025-04-27 23:31:24,230 | frontend | WARNING | Input mismatch
2025-04-27 23:31:24,230 | frontend | WARNING | Input mismatch
2025-04-27 23:31:24,230 | frontend | WARNING | Input mismatch
2025-04-27 23:31:24,232 | frontend | ERROR | Frontend error
2025-04-27 23:31:24,232 | frontend | ERROR | Frontend error
2025-04-27 23:31:24,232 | frontend | ERROR | Frontend error
2025-04-27 23:31:24,235 | frontend | CRITICAL | Frontend down
2025-04-27 23:31:24,235 | frontend | CRITICAL | Frontend down
