2025-04-27 23:05:21,537 | frontend.flask | INFO | Flask running
2025-04-27 23:05:21,538 | frontend.flask | WARNING | Session timeout
2025-04-27 23:05:21,538 | frontend.flask | ERROR | Submission error
2025-04-27 23:05:21,538 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:29:09,932 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:29:09,933 | frontend.flask | ERROR | Submission error
2025-04-27 23:29:09,938 | frontend.flask | WARNING | Session timeout
2025-04-27 23:29:09,939 | frontend.flask | INFO | Flask server running
2025-04-27 23:29:09,963 | frontend.flask | WARNING | Flask session about to expire
2025-04-27 23:29:09,963 | frontend.flask | WARNING | Flask session about to expire
2025-04-27 23:31:24,248 | frontend.flask | INFO | Flask running
2025-04-27 23:31:24,248 | frontend.flask | INFO | Flask running
2025-04-27 23:31:24,248 | frontend.flask | INFO | Flask running
2025-04-27 23:31:24,253 | frontend.flask | WARNING | Session timeout
2025-04-27 23:31:24,253 | frontend.flask | WARNING | Session timeout
2025-04-27 23:31:24,253 | frontend.flask | WARNING | Session timeout
2025-04-27 23:31:24,258 | frontend.flask | ERROR | Submission error
2025-04-27 23:31:24,258 | frontend.flask | ERROR | Submission error
2025-04-27 23:31:24,258 | frontend.flask | ERROR | Submission error
2025-04-27 23:31:24,259 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:31:24,259 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:31:24,259 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:35:31,936 | frontend.flask | INFO | Flask running
2025-04-27 23:35:31,937 | frontend.flask | WARNING | Session timeout
2025-04-27 23:35:31,937 | frontend.flask | ERROR | Submission error
2025-04-27 23:35:31,937 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:44:38,288 | frontend.flask | INFO | Flask running
2025-04-27 23:44:38,288 | frontend.flask | INFO | Flask running
2025-04-27 23:44:38,288 | frontend.flask | WARNING | Session timeout
2025-04-27 23:44:38,288 | frontend.flask | WARNING | Session timeout
2025-04-27 23:44:38,289 | frontend.flask | ERROR | Submission error
2025-04-27 23:44:38,289 | frontend.flask | ERROR | Submission error
2025-04-27 23:44:38,289 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:44:38,289 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:45:05,355 | frontend.flask | INFO | Flask running
2025-04-27 23:45:05,355 | frontend.flask | INFO | Flask running
2025-04-27 23:45:05,355 | frontend.flask | INFO | Flask running
2025-04-27 23:45:05,355 | frontend.flask | WARNING | Session timeout
2025-04-27 23:45:05,355 | frontend.flask | WARNING | Session timeout
2025-04-27 23:45:05,355 | frontend.flask | WARNING | Session timeout
2025-04-27 23:45:05,355 | frontend.flask | ERROR | Submission error
2025-04-27 23:45:05,355 | frontend.flask | ERROR | Submission error
2025-04-27 23:45:05,355 | frontend.flask | ERROR | Submission error
2025-04-27 23:45:05,355 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:45:05,355 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:45:05,355 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:50:25,373 | frontend.flask | INFO | Flask running
2025-04-27 23:50:25,373 | frontend.flask | INFO | Flask running
2025-04-27 23:50:25,373 | frontend.flask | INFO | Flask running
2025-04-27 23:50:25,373 | frontend.flask | INFO | Flask running
2025-04-27 23:50:25,373 | frontend.flask | WARNING | Session timeout
2025-04-27 23:50:25,373 | frontend.flask | WARNING | Session timeout
2025-04-27 23:50:25,373 | frontend.flask | WARNING | Session timeout
2025-04-27 23:50:25,373 | frontend.flask | WARNING | Session timeout
2025-04-27 23:50:25,374 | frontend.flask | ERROR | Submission error
2025-04-27 23:50:25,374 | frontend.flask | ERROR | Submission error
2025-04-27 23:50:25,374 | frontend.flask | ERROR | Submission error
2025-04-27 23:50:25,374 | frontend.flask | ERROR | Submission error
2025-04-27 23:50:25,374 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:50:25,374 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:50:25,374 | frontend.flask | CRITICAL | Flask crash
2025-04-27 23:50:25,374 | frontend.flask | CRITICAL | Flask crash
