2025-04-27 23:05:21,534 | ui | INFO | UI started
2025-04-27 23:05:21,534 | ui | WARNING | Slow response
2025-04-27 23:05:21,535 | ui | ERROR | Render error
2025-04-27 23:05:21,535 | ui | CRITICAL | UI crash
2025-04-27 23:29:09,906 | ui | CRITICAL | UI crash occurred
2025-04-27 23:29:09,907 | ui | ERROR | Render error occurred
2025-04-27 23:29:09,908 | ui | WARNING | Slow response detected
2025-04-27 23:29:09,909 | ui | INFO | UI initialized successfully
2025-04-27 23:29:09,955 | ui | WARNING | User interface might be unresponsive
2025-04-27 23:29:09,955 | ui | WARNING | User interface might be unresponsive
2025-04-27 23:31:24,220 | ui | INFO | UI started
2025-04-27 23:31:24,220 | ui | INFO | UI started
2025-04-27 23:31:24,220 | ui | INFO | UI started
2025-04-27 23:31:24,223 | ui | WARNING | Slow response
2025-04-27 23:31:24,223 | ui | WARNING | Slow response
2025-04-27 23:31:24,223 | ui | WARNING | Slow response
2025-04-27 23:31:24,225 | ui | ERROR | Render error
2025-04-27 23:31:24,225 | ui | ERROR | Render error
2025-04-27 23:31:24,225 | ui | ERROR | Render error
2025-04-27 23:31:24,226 | ui | CRITICAL | UI crash
2025-04-27 23:31:24,226 | ui | CRITICAL | UI crash
2025-04-27 23:31:24,226 | ui | CRITICAL | UI crash
2025-04-27 23:35:31,934 | ui | INFO | UI started
2025-04-27 23:35:31,935 | ui | WARNING | Slow response
2025-04-27 23:35:31,935 | ui | ERROR | Render error
2025-04-27 23:35:31,935 | ui | CRITICAL | UI crash
2025-04-27 23:44:38,283 | ui | INFO | UI started
2025-04-27 23:44:38,283 | ui | INFO | UI started
2025-04-27 23:44:38,283 | ui | WARNING | Slow response
2025-04-27 23:44:38,283 | ui | WARNING | Slow response
2025-04-27 23:44:38,283 | ui | ERROR | Render error
2025-04-27 23:44:38,283 | ui | ERROR | Render error
2025-04-27 23:44:38,284 | ui | CRITICAL | UI crash
2025-04-27 23:44:38,284 | ui | CRITICAL | UI crash
2025-04-27 23:45:05,351 | ui | INFO | UI started
2025-04-27 23:45:05,351 | ui | INFO | UI started
2025-04-27 23:45:05,351 | ui | INFO | UI started
2025-04-27 23:45:05,352 | ui | WARNING | Slow response
2025-04-27 23:45:05,352 | ui | WARNING | Slow response
2025-04-27 23:45:05,352 | ui | WARNING | Slow response
2025-04-27 23:45:05,352 | ui | ERROR | Render error
2025-04-27 23:45:05,352 | ui | ERROR | Render error
2025-04-27 23:45:05,352 | ui | ERROR | Render error
2025-04-27 23:45:05,352 | ui | CRITICAL | UI crash
2025-04-27 23:45:05,352 | ui | CRITICAL | UI crash
2025-04-27 23:45:05,352 | ui | CRITICAL | UI crash
2025-04-27 23:50:25,371 | ui | INFO | UI started
2025-04-27 23:50:25,371 | ui | INFO | UI started
2025-04-27 23:50:25,371 | ui | INFO | UI started
2025-04-27 23:50:25,371 | ui | INFO | UI started
2025-04-27 23:50:25,371 | ui | WARNING | Slow response
2025-04-27 23:50:25,371 | ui | WARNING | Slow response
2025-04-27 23:50:25,371 | ui | WARNING | Slow response
2025-04-27 23:50:25,371 | ui | WARNING | Slow response
2025-04-27 23:50:25,372 | ui | ERROR | Render error
2025-04-27 23:50:25,372 | ui | ERROR | Render error
2025-04-27 23:50:25,372 | ui | ERROR | Render error
2025-04-27 23:50:25,372 | ui | ERROR | Render error
2025-04-27 23:50:25,372 | ui | CRITICAL | UI crash
2025-04-27 23:50:25,372 | ui | CRITICAL | UI crash
2025-04-27 23:50:25,372 | ui | CRITICAL | UI crash
2025-04-27 23:50:25,372 | ui | CRITICAL | UI crash
